CDX2,MEP1A,1
CDX2,MUC2,1
CDX2,PTGS2,1
CDX2,SLC15A1,1
CDX2,TFF3,1
CDX2,UGT1A10,1
CDX2,UGT1A8,1
CEBPA,BCL2,1
CEBPA,CCL2,1
CEBPA,CSF3R,1
CEBPA,ELANE,1
CEBPA,F9,1
CEBPA,HAMP,1
CEBPA,HSD17B11,1
CEBPA,HSPA4,1
CEBPA,IGF1,1
CEBPA,INSR,1
CEBPA,ITGAX,1
CEBPA,LEP,1
CEBPA,MYC,1
CEBPA,S100A9,1
CEBPA,SERPINC1,1
CEBPA,SFTPD,1
CEBPA,SOCS3,1
CEBPA,SPP1,1
CEBPA,STAR,1
CEBPB,ABCB1,1
CEBPB,ADM,1
CEBPB,CDKN1A,1
CEBPB,CRP,1
CEBPB,CSF3R,1
CEBPB,CSRP1,1
CEBPB,CXCL8,1
CEBPB,CYP19A1,1
CEBPB,FURIN,1
CEBPB,GDF15,1
CEBPB,GFER,1
CEBPB,IL1B,1
CEBPB,IL4,1
CEBPB,IL6,1
CEBPB,INSR,1
CEBPB,IRF4,1
CEBPB,OXTR,1
CEBPB,PCK2,1
CEBPB,PRDM1,1
CEBPB,PRSS50,1
CEBPB,PTGS2,1
CEBPB,PTGS2,1
CEBPB,S100A9,1
CEBPB,SAA2,1
CEBPB,SFTPD,1
CEBPB,SLC19A1,1
CEBPB,SLC5A8,1
CEBPB,STAR,1
CEBPB,TNFAIP6,1
CEBPB,XBP1,1
CEBPD,CCL20,1
CEBPD,CXCL1,1
CEBPD,CYP19A1,1
CEBPD,DDIT3,1
CEBPD,DDIT3,1
CEBPD,IL23A,1
CEBPD,POU5F1,1
CEBPD,PPARG,1
CEBPD,SOD1,1
CEBPD,TNFAIP6,1
CEBPE,GATA1,1
CEBPE,MYC,1
CEBPE,PRG2,1
CEBPE,SPI1,1
CEBPG,SFTPD,1
CEBPZ,APC,1
CEBPZ,COL11A1,1
CEBPZ,MLH1,1
CHD4,CD79A,1
CHD8,CCNE2,1
CIITA,COL1A1,1
CIITA,COL1A2,1
CIITA,HLA-A,1
CIITA,HLA-B,1
CIITA,HLA-C,1
CIITA,HLA-DMA,1
CIITA,HLA-DMB,1
CIITA,HLA-DOA,1
CIITA,HLA-DOB,1
CIITA,HLA-DRA,1
CIITA,IL4,1
CIITA,IL4,1
CIITA,MMP9,1
CIITA,PSMC5,1
CIITA,S100A4,1
CIITA,SIRT1,1
CITED2,MMP1,1
CITED2,MMP13,1
CLOCK,BHLHE40,1
CLOCK,BHLHE41,1
CLOCK,CRY1,1
CLOCK,CRY2,1
CLOCK,1-Dec,1
CLOCK,NAMPT,1
CLOCK,NR0B2,1
CLOCK,NR3C1,1
CLOCK,PER1,1
CLOCK,PER2,1
CLOCK,PER3,1
CLOCK,STAR,1
COPS5,CDKN1B,1
COPS5,VEGFA,1
CRABP2,RARA,1
CREB1,ACACA,1
CREB1,BCL2,1
CREB1,BDNF,1
CREB1,CASP8,1
CREB1,CYP19A1,1
CREB1,ETV3,1
CREB1,GRPR,1
CREB1,HMOX1,1
CREB1,IFNG,1
CREB1,IFNG,1
CREB1,IL10,1
CREB1,IL6,1
CREB1,JUN,1
CREB1,LYL1,1
CREB1,MC2R,1
CREB1,MITF,1
CREB1,MUC4,1
CREB1,MUC5AC,1
CREB1,NDC80,1
CREB1,NOLC1,1
CREB1,NR2F1,1
CREB1,NR2F6,1
CREB1,NR5A2,1
CREB1,PCSK1,1
CREB1,PLAT,1
CREB1,PPP2CA,1
CREB1,PPP2R2B,1
CREB1,PSEN1,1
CREB1,PTGS2,1
CREB1,SLC20A1,1
CREB1,SMAD6,1
CREB1,SNAI1,1
CREB1,SNAI2,1
CREB1,UXT,1
CREB3,CXCR4,1
CREB3L1,SLC1A4,1
CREB5,ATP6V0E1,1
CREB5,CFB,1
CREB5,DGKG,1
CREB5,DGKG,1
CREB5,LGALS3BP,1
CREB5,LY96,1
CREB5,MAPKAPK3,1
CREB5,MX1,1
CREB5,RASGRP3,1
CREB5,RDX,1
CREB5,STAT1,1
CREB5,TGFBR3,1
CREB5,TNFRSF11B,1
CREBBP,ALOX15,1
CREBBP,CDKN1A,1
CREBBP,CREB1,1
CREBBP,HINFP,1
CREBBP,HOXA10,1
CREBBP,HOXA9,1
CREBBP,IL4,1
CREBBP,INSM1,1
CREBBP,IRF1,1
CREBBP,PSMC5,1
CREG1,HSPA4,1
CREM,ACE,1
CREM,CCL4,1
CREM,CCNA2,1
CREM,CD247,1
CREM,CREB1,1
CREM,DUSP1,1
CREM,DUSP4,1
CREM,FASLG,1
CREM,FOS,1
CREM,G6PD,1
CREM,IL2,1
CREM,MC2R,1
CREM,MC2R,1
CREM,SLC5A5,1
CREM,SLC5A5,1
CRTC1,PPARGC1A,1
CRX,BEST1,1
CRX,NR2E3,1
CRX,RBP3,1
CRX,RBP3,1
CRX,RHO,1
CRX,RS1,1
CTBP1,BRCA1,1
CTBP1,BRCA2,1
CTBP1,CLDN7,1
CTCF,APP,1
CTCF,APP,1
CTCF,BCL6,1
CTCF,MYC,1
CTCF,MYC,1
CTCF,PAX6,1
CTCF,PAX6,1
CTCF,RARRES1,1
CTCF,TERT,1
CTCFL,BAG1,1
CTNNB1,CCND1,1
CTNNB1,CCND1,1
CTNNB1,CLDN2,1
CTNNB1,JUN,1
CTNNB1,MMP14,1
CTNNB1,MMP7,1
CTNNB1,MYC,1
CTNNB1,PLD1,1
CTNNB1,RB1,1
CTNNB1,STARD7,1
CTNNB1,VIM,1
CUX1,CYBB,1
CUX1,WNT5A,1
DACH1,FOS,1
DACH1,TNFSF11,1
DAXX,AIRE,1
DBP,ALDOB,1
DBP,CYP3A4,1
DBP,CYP7A1,1
DDB2,BCL2,1
DDB2,SOD2,1
DDIT3,ANKRD1,1
DDIT3,ASNS,1
DDIT3,ATF2,1
DDIT3,ATF5,1
DDIT3,ATG5,1
DDIT3,CEBPA,1
DDIT3,IL6,1
DDIT3,MAP1LC3B,1
DDIT3,NOS3,1
DDIT3,RTN3,1
DDIT3,SIRT1,1
DDIT3,SIRT2,1
DDIT3,TNFRSF10B,1
DDIT3,TNFRSF10B,1
DDIT3,TRIB3,1
DEAF1,HTR1A,1
DEK,BCL2,1
DEK,PRDX5,1
DENND4A,ERBB2,1
DLX3,CGA,1
DLX4,BRCA1,1
DLX5,IBSP,1
DLX5,IRS2,1
DLX5,MYC,1
DNMT1,BIRC5,1
DNMT1,BMP2,1
DNMT1,CASP8,1
DNMT1,CDH1,1
DNMT1,CDKN2A,1
DNMT1,CXCR4,1
DNMT1,GAD1,1
DNMT1,IL3,1
DNMT1,IL32,1
DNMT1,MBD2,1
DNMT1,MSH2,1
DNMT1,RB1,1
DNMT1,RELN,1
DNMT1,TERT,1
DNMT1,TIMP3,1
DNMT1,TNFRSF10B,1
DNMT1,VEGFA,1
DNMT3A,CDH6,1
DNMT3A,IGFBP3,1
DNMT3L,TDG,1
DR1,NR1I2,1
DR1,PTGS2,1
DR1,TBP,1
DUX4,HEY1,1
E2F1,ABCB1,1
E2F1,APAF1,1
E2F1,AR,1
E2F1,ASF1B,1
E2F1,ATG5,1
E2F1,ATM,1
E2F1,AURKA,1
E2F1,BBC3,1
E2F1,BCL2,1
E2F1,BIRC5,1
E2F1,BIRC5,1
E2F1,BRCA1,1
E2F1,CASP7,1
E2F1,CCND1,1
E2F1,CCNE1,1
E2F1,CD2AP,1
E2F1,CDCA7,1
E2F1,CDK1,1
E2F1,CDKN1A,1
E2F1,CDKN2A,1
E2F1,CHEK2,1
E2F1,CTNNBIP1,1
E2F1,DAPK2,1
E2F1,DBF4,1
E2F1,DHFR,1
E2F1,DIRAS3,1
E2F1,DNMT1,1
E2F1,DRAM1,1
E2F1,DROSHA,1
E2F1,DUSP1,1
E2F1,E2F6,1
E2F1,ERCC1,1
E2F1,ERCC5,1
E2F1,ERICD,1
E2F1,ETV4,1
E2F1,FANCA,1
E2F1,FGFR1,1
E2F1,FHIT,1
E2F1,FOXM1,1
E2F1,FZD1,1
E2F1,H19,1
E2F1,HIC1,1
E2F1,HMGA1,1
E2F1,HSPA5,1
E2F1,IRF3,1
E2F1,ISYNA1,1
E2F1,KIF2C,1
E2F1,KIF2C,1
E2F1,KIR3DL1,1
E2F1,LRBA,1
E2F1,MAP1LC3A,1
E2F1,MAP3K5,1
E2F1,MCL1,1
E2F1,MCPH1,1
E2F1,MDM2,1
E2F1,MEFV,1
E2F1,MT1G,1
E2F1,MUC4,1
E2F1,MYBL2,1
E2F1,MYC,1
E2F1,MYCN,1
E2F1,NOX4,1
E2F1,NPAT,1
E2F1,NRIP1,1
E2F1,PCNA,1
E2F1,PCSK6,1
E2F1,PDK4,1
E2F1,PLK1,1
E2F1,PNRC2,1
E2F1,PPARG,1
E2F1,PPP1R13B,1
E2F1,RASGEF1B,1
E2F1,RASGRP1,1
E2F1,RB1,1
E2F1,RBM38,1
E2F1,RRM1,1
E2F1,RRM2,1
E2F1,SERPINB5,1
E2F1,SERPINE1,1
E2F1,SIVA1,1
E2F1,SIVA1,1
E2F1,SKP2,1
E2F1,TERT,1
E2F1,TERT,1
E2F1,THBS1,1
E2F1,TLR3,1
E2F1,TNFSF11,1
E2F1,TOP2A,1
E2F1,TP53,1
E2F1,TP53,1
E2F1,TP53BP2,1
E2F1,TP53INP1,1
E2F1,TP73,1
E2F1,TYMS,1
E2F1,UHRF1,1
E2F1,ULK1,1
E2F1,VEGFA,1
E2F1,WWOX,1
E2F1,XRCC1,1
E2F3,AURKA,1
E2F3,CDKN1A,1
E2F3,ERICD,1
E2F4,BRCA1,1
E2F4,BRCA1,1
E2F4,DIRAS3,1
E2F4,HCFC1,1
E2F4,PCLAF,1
E2F4,MCM10,1
E2F4,PLK1,1
E2F4,PPARG,1
E2F4,RAD51,1
E2F4,TOPBP1,1
E2F4,TTK,1
E2F6,APAF1,1
E2F6,E2F1,1
E2F6,PCLAF,1
E2F7,E2F1,1
E2F8,E2F1,1
E4F1,CCNA2,1
EAF1,ELL,1
EAPP,ABCB1,1
EAPP,CDKN2A,1
EAPP,MAOB,1
EBF3,CDKN1A,1
ECD,GCGR,1
EGR1,ABCB1,1
EGR1,ACE,1
EGR1,ALOX5,1
EGR1,ALOX5,1
EGR1,AR,1
EGR1,ATF3,1
EGR1,BCAR1,1
EGR1,CCND1,1
EGR1,CDK5R1,1
EGR1,CDKN1A,1
EGR1,CHGA,1
EGR1,CXCL8,1
EGR1,CYP2B6,1
EGR1,EAPP,1
EGR1,EGFR,1
EGR1,EP300,1
EGR1,FAP,1
EGR1,FAP,1
EGR1,FAS,1
EGR1,FCER2,1
EGR1,FGF2,1
EGR1,FN1,1
EGR1,GDF15,1
EGR1,HIF1A,1
EGR1,HPSE,1
EGR1,HSD11B2,1
EGR1,HYAL1,1
EGR1,IGF2,1
EGR1,IL3,1
EGR1,IL6,1
EGR1,KLK3,1
EGR1,LDLR,1
EGR1,LHB,1
EGR1,LMTK2,1
EGR1,MMP14,1
EGR1,MYB,1
EGR1,NAB2,1
EGR1,PCSK2,1
EGR1,PDGFB,1
EGR1,PDGFC,1
EGR1,PLAU,1
EGR1,PLAUR,1
EGR1,PTEN,1
EGR1,PTGES,1
EGR1,PTGS2,1
EGR1,RBL2,1
EGR1,SLC4A2,1
EGR1,SLC9A3,1
EGR1,SOD1,1
EGR1,STIM1,1
EGR1,SYN1,1
EGR1,TCF4,1
EGR1,TMPO,1
EGR1,TNF,1
EGR1,TNFSF10,1
EGR1,TP53,1
EGR1,UBE2S,1
EGR1,VEGFA,1
EGR1,VEGFA,1
EGR1,WNT4,1
EGR2,FASLG,1
EGR2,SCD5,1
EGR3,CAT,1
EGR3,NAB2,1
EHF,DCDC2,1
EHF,SPRR1B,1
EHMT2,RUNX3,1
EHMT2,SIAH1,1
ELF1,CD68,1
ELF1,FCER1A,1
ELF1,FLI1,1
ELF1,MEIS1,1
ELF1,TEK,1
ELF2,TEK,1
ELF2,VCP,1
ELF3,KRT4,1
ELF3,MMP9,1
ELF3,SPRR1B,1
ELF3,SPRR2A,1
ELF3,TIMP3,1
ELF4,CXCL8,1
ELF4,CXCL8,1
ELF4,HBD,1
ELF4,MMP9,1
ELF4,TP53,1
ELK1,EIF2AK1,1
ELK1,EZH2,1
ELK1,FOSL1,1
ELK1,MECOM,1
ELK1,MUC4,1
ELK1,PSEN1,1
ELK1,TNFRSF10B,1
ELK3,MYH6,1
ELK4,FOS,1
ELL,BAX,1
ELL,CDKN1A,1
ELL,E2F1,1
ELL,MDM2,1
EN1,UTRN,1
ENO1,MYC,1
EP300,ALOX15,1
EP300,BIRC5,1
EP300,BIRC5,1
EP300,BRCA1,1
EP300,CA9,1
EP300,CCNE1,1
EP300,CDKN1A,1
EP300,CRABP1,1
EP300,CYBB,1
EP300,DNMT1,1
EP300,EIF2AK1,1
EP300,EPO,1
EP300,GFAP,1
EP300,HINFP,1
EP300,IFNG,1
EP300,IGFBP3,1
EP300,IL12B,1
EP300,KRT16,1
EP300,LAMA3,1
EP300,MMP9,1
EP300,MYC,1
EP300,NR0B2,1
EP300,NR1H4,1
EP300,PCNA,1
EP300,PTGS2,1
EP300,TBXAS1,1
EP300,THBD,1
EP300,TP73,1
EP300,TRIM22,1
EP300,VCAM1,1
EP300,VEGFA,1
EP300,WT1,1
EPAS1,CA9,1
EPAS1,CCR7,1
EPAS1,COL10A1,1
EPAS1,FLT1,1
EPAS1,MMP14,1
EPAS1,MSC,1
EPAS1,SERPINE1,1
EPAS1,VEGFA,1
ERCC2,BAX,1
ERCC2,BCL2,1
ERCC2,CDKN1A,1
ERCC2,LAMTOR5,1
ERCC2,TP53,1
ERF,ETS2,1
ERF,PRL,1
ERF,UTRN,1
ERG,ADAMTS1,1
ERG,CXCL8,1
ERG,CXCR4,1
ERG,ENG,1
ERG,EPB41L3,1
ERG,EPB41L4B,1
ERG,ERG,1
ERG,FGF2,1
ERG,ICAM1,1
ERG,ILK,1
ERG,PIM1,1
ERG,SPP1,1
ERG,TDRD1,1
ERG,TDRD1,1
ERG,VIM,1
ERG,VWF,1
ERG,WNT11,1
ESR1,AMH,1
ESR1,AR,1
ESR1,BCL2,1
ESR1,BLM,1
ESR1,BTG2,1
ESR1,CCNA2,1
ESR1,CCND1,1
ESR1,CD24,1
ESR1,CDKN1A,1
ESR1,CDKN1A,1
ESR1,CDKN1B,1
ESR1,CRH,1
ESR1,CRHBP,1
ESR1,CTNNB1,1
ESR1,CYP19A1,1
ESR1,CYP1A1,1
ESR1,CYP2C19,1
ESR1,DCT,1
ESR1,F12,1
ESR1,FOXP1,1
ESR1,GREB1,1
ESR1,HSPB1,1
ESR1,HTRA2,1
ESR1,JUN,1
ESR1,JUNB,1
ESR1,KDR,1
ESR1,KRT19,1
ESR1,NQO1,1
ESR1,NRF1,1
ESR1,PGR,1
ESR1,PLAC1,1
ESR1,PMAIP1,1
ESR1,PTMA,1
ESR1,RARA,1
ESR1,SERPINE1,1
ESR1,TAC3,1
ESR1,TERT,1
ESR1,TFF1,1
ESR1,TGFA,1
ESR1,TP53,1
ESR1,UGT1A4,1
ESR1,UGT2B15,1
ESR1,VEGFA,1
ESR1,ZEB1,1
ESR1,ZFHX3,1
ESR2,BRCA2,1
ESR2,CDKN1A,1
ESR2,CRH,1
ESR2,INSR,1
ESR2,SERPINE1,1
ESR2,TFF1,1
ESR2,TGFA,1
ESRRA,CYP19A1,1
ESRRA,NR2F1,1
ESRRA,NR2F6,1
ESRRA,NRIP1,1
ESRRA,SNAI1,1
ESRRA,SNAI2,1
ESRRG,NR0B1,1
ETS1,ABCB1,1
ETS1,ANGPT2,1
ETS1,ANPEP,1
ETS1,BAX,1
ETS1,BMP4,1
ETS1,CA9,1
ETS1,CASP1,1
ETS1,CD8A,1
ETS1,CHUK,1
ETS1,CSF3R,1
ETS1,ECE1,1
ETS1,EGR1,1
ETS1,ERG,1
ETS1,FLI1,1
ETS1,GP6,1
ETS1,GRPR,1
ETS1,IL2,1
ETS1,IL2RB,1
ETS1,IL5,1
ETS1,CIP2A,1
ETS1,LCK,1
ETS1,MDM2,1
ETS1,MMP1,1
ETS1,MMP13,1
ETS1,MMP9,1
ETS1,MUC4,1
ETS1,MYB,1
ETS1,NDRG1,1
ETS1,NKX3-1,1
ETS1,PARP1,1
ETS1,PARP1,1
ETS1,PF4,1
ETS1,PRL,1
ETS1,PTHLH,1
ETS1,RHOC,1
ETS1,SLC26A3,1
ETS1,TBXA2R,1
ETS1,TBXAS1,1
ETS1,TERT,1
ETS1,TFAP2A,1
ETS1,TGFBR2,1
ETS1,TMEM158,1
ETS1,TNC,1
ETS1,TNFSF14,1
ETS1,WT1,1
ETS2,ANGPT2,1
ETS2,ANPEP,1
ETS2,CGA,1
ETS2,CHRNE,1
ETS2,CSF2,1
ETS2,CSF3R,1
ETS2,CXCL8,1
ETS2,ERG,1
ETS2,FLI1,1
ETS2,ICAM1,1
ETS2,IL5,1
ETS2,LCK,1
ETS2,MDM2,1
ETS2,MMP9,1
ETS2,MSR1,1
ETV3,NFKB1,1
ETV3,RELA,1
ETV4,AGTR1,1
ETV4,CCND2,1
ETV4,CCND3,1
ETV4,ERBB2,1
ETV4,ETS1,1
ETV4,MMP14,1
ETV4,MMP7,1
ETV4,MUC4,1
ETV4,PTGS2,1
ETV4,TERT,1
ETV4,VIM,1
ETV5,ICAM1,1
ETV6,BBC3,1
ETV6,CDKN1A,1
ETV6,GAS2,1
ETV6,IGFBP5,1
ETV6,MAD2L1,1
EVX1,GSC,1
EWSR1,MITF,1
EWSR1,PHLDA1,1
EWSR1,TERT,1
EWSR1,TGFBR2,1
EZH2,ADAMTS1,1
EZH2,ADRB2,1
EZH2,ALDH1A1,1
EZH2,APC,1
EZH2,AXL,1
EZH2,CCND1,1
EZH2,CCNE1,1
EZH2,CDH1,1
EZH2,CDKN1A,1
EZH2,CDKN2A,1
EZH2,CDKN2B,1
EZH2,CIITA,1
EZH2,DACT3,1
EZH2,FBXO32,1
EZH2,FOXC1,1
EZH2,HDAC1,1
EZH2,HOXB13,1
EZH2,KPNB1,1
EZH2,MMP2,1
EZH2,MST1,1
EZH2,MYC,1
EZH2,PCNA,1
EZH2,PEBP1,1
EZH2,PIP5K1C,1
EZH2,RPLP0,1
EZH2,RUNX3,1
EZH2,SATB1,1
EZH2,SNAI2,1
EZH2,SSTR1,1
EZH2,TP53,1
EZH2,TWIST1,1
FHL2,CCND1,1
FHL2,CDKN1A,1
FHL2,CDKN1B,1
FLI1,COL1A2,1
FLI1,ERG,1
FLI1,EYA3,1
FLI1,FLI1,1
FLI1,FOXM1,1
FLI1,GATA1,1
FLI1,GP6,1
FLI1,GP9,1
FLI1,ID2,1
FLI1,IGFBP3,1
FLI1,IL10,1
FLI1,MIR708,1
FLI1,MMP1,1
FLI1,MPL,1
FLI1,PHLDA1,1
FLI1,TERT,1
FLI1,TGFBR2,1
FLI1,TGFBR2,1
FOS,CASP9,1
FOS,CCK,1
FOS,CCND1,1
FOS,CLU,1
FOS,CREM,1
FOS,DDIT3,1
FOS,ERCC4,1
FOS,EZR,1
FOS,FAS,1
FOS,FMO4,1
FOS,FOS,1
FOS,HSPH1,1
FOS,MMP1,1
FOS,MMP9,1
FOS,MMP9,1
FOS,MYC,1
FOS,NEFL,1
FOS,NFKB1,1
FOS,NOS2,1
FOS,NOS2,1
FOS,PTGS2,1
FOS,SLC10A2,1
FOS,SMAD7,1
FOS,SOX7,1
FOS,SPI1,1
FOS,SRR,1
FOSB,CXCL8,1
FOSB,TIMP1,1
FOSL1,ITGAV,1
FOSL1,ITGB3,1
FOSL2,BCL6,1
FOSL2,BRCA1,1
FOSL2,CCR4,1
FOSL2,FOSL1,1
FOSL2,MDM2,1
FOSL2,MYB,1
FOSL2,NOS2,1
FOSL2,TIMP1,1
FOSL2,UGT2B15,1
FOXA1,ABCA1,1
FOXA1,APOB,1
FOXA1,BCL2,1
FOXA1,CFTR,1
FOXA1,HSPA1A,1
FOXA1,KRT7,1
FOXA1,NF1,1
FOXA1,RPRM,1
